uid,term,estimate,std.error,statistic,p.value,conf.low,conf.high,NRMSE,R2_flipped
332,unionunion,14.218111675085511,2.447852064452795,5.808403163556332,7.40307321604669e-9,9.417282399939229,19.018940950231794,0.09835503766958983,0.7486976615509748
333,unionunion,12.335338698239584,2.2472795996951653,5.489009333735252,4.597762488346807e-8,7.927878935692409,16.74279846078676,0.09382746931909992,0.6273525523396
334,unionunion,13.40370201884932,2.2402393497106825,5.983156228632602,2.619327456546101e-9,9.01005143448284,17.7973526032158,0.09349733819110528,0.6323960905086577
335,unionunion,11.119136723595386,2.345521805933873,4.740581262329507,2.2931898850772307e-6,6.519001807379142,15.71927163981163,0.09685501161377023,0.6845783310667686
336,unionunion,14.78670095759185,2.439283596871443,6.061903165567489,1.624913856549305e-9,10.002678194910438,19.570723720273264,0.0985385548802937,0.7505855778626906
337,unionunion,13.395423855941266,2.195934442872472,6.10010189485388,1.286788148529363e-9,9.088662872362395,17.702184839520136,0.09228322424573092,0.6052402180321796
338,unionunion,14.757690563551694,2.191442882953397,6.734234635247635,2.190059097752505e-11,10.459740130571465,19.055640996531924,0.09202557566270167,0.6126723478933114
339,unionunion,12.049719329560537,2.2885765694090416,5.265158916082072,1.5631543248305938e-7,7.561266204036308,16.538172455084766,0.09530820599266453,0.6588796185745013
340,unionunion,16.052673761937843,2.393243280187745,6.707497685182488,2.6193679281113783e-11,11.358945505675397,20.74640201820029,0.09745467524066438,0.7314116180718764
341,unionunion,13.031328960102476,2.1945439670650715,5.938057817784463,3.4343543581593827e-9,8.727296549853225,17.335361370351727,0.09228054099427727,0.6070366773278166
342,unionunion,14.393529307138035,2.1896941481988494,6.573305828568592,6.374307842301126e-11,10.099010074155087,18.68804854012098,0.0920176525854403,0.6144061121629703
343,unionunion,11.68568212441485,2.2867884255386866,5.110084515869507,3.550903653291033e-7,7.200737556555113,16.17062669227459,0.09526390202254185,0.6606456546845946
344,unionunion,15.701663961662069,2.3903962909504113,6.56864471431185,6.571452785299619e-11,11.013520982959998,20.38980694036414,0.09732221906708502,0.7329252127423149
345,unionunion,14.235089418499234,2.264895355766287,6.285098065240653,4.072765443234058e-10,9.793080890377517,18.67709794662095,0.09466258981392253,0.644624480820099
346,unionunion,15.43597496300515,2.2570586806691697,6.83897813344787,1.0786032783211788e-11,11.009337607245712,19.862612318764587,0.0943603189569285,0.6504498745300499
347,unionunion,12.886935447562646,2.3566569042655807,5.468312092539699,5.1582210666493095e-8,8.264961913388724,17.508908981736568,0.09758628695586126,0.6994738997349113
348,unionunion,16.698153974780183,2.4495152133408005,6.816921929627948,1.2528828474919578e-11,11.894064547381632,21.502243402178735,0.09924041269407455,0.7668240395956346
