Filename,Code Path,outliers,feminity,feminity_prediction_levels,damage,predictors,covariates,back_transform,df,Model
universe_142.R,_start->Model->O,c('Katrina'),masfem,,log_dam,feminity + damage + z3,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_143.R,_start->Model->O,c('Katrina'),masfem,,log_dam,feminity + damage + z3,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_144.R,_start->Model->O,c('Katrina'),masfem,,log_dam,feminity + damage + z3,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_145.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity * damage,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_146.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity * damage,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_147.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity * damage,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_148.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + pressure + feminity:damage + feminity:pressure,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_149.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + pressure + feminity:damage + feminity:pressure,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_150.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + pressure + feminity:damage + feminity:pressure,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_151.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + zwin + feminity:damage + feminity:zwin,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_152.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + zwin + feminity:damage + feminity:zwin,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_153.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + zwin + feminity:damage + feminity:zwin,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_154.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + zcat + feminity:damage + feminity:zcat,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_155.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + zcat + feminity:damage + feminity:zcat,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_156.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + zcat + feminity:damage + feminity:zcat,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_157.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + z3 + feminity:damage + feminity:z3,,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_158.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + z3 + feminity:damage + feminity:z3,+ year:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
universe_159.R,_start->Model->O,"c('Katrina', 'Audrey')",female,,dam,feminity + damage + z3 + feminity:damage + feminity:z3,+ post:damage,exp(mu + sigma^2/2) - 1,pred$df,ols_regression
